name,type,start_time,duration
"Test Analyzer","error",0.4218334,0.0032077
"Test Analyzer","enable",0.4277853,1e-07
"Test Analyzer","disable",0.4295472,1e-07
"Test Analyzer","enable",0.4304275,1e-07
"Test Analyzer","disable",0.4329882,1e-07
"Test Analyzer","enable",0.4332467,1e-07
"Test Analyzer","disable",0.4333919,1e-07
"Test Analyzer","enable",0.4355599,1e-07
"Test Analyzer","disable",0.438642,1e-07
"Test Analyzer","enable",0.4389002,1e-07
"Test Analyzer","disable",0.4402121,1e-07
"Test Analyzer","enable",0.4417193,1e-07
"Test Analyzer","disable",0.4446899,1e-07
"Test Analyzer","error",0.4476632,0.0001502
"Test Analyzer","error",0.4487182,0.0015819
"Test Analyzer","enable",0.4523846,9.99999999e-08
"Test Analyzer","disable",0.4530434,1e-07
"Test Analyzer","error",0.454938,0.002713
"Test Analyzer","error",0.4605217,0.0031096
"Test Analyzer","enable",0.4642926,1e-07
"Test Analyzer","disable",0.4656153,1e-07
"Test Analyzer","enable",0.4659856,1e-07
"Test Analyzer","disable",0.467576,1e-07
"Test Analyzer","error",0.4689973,0.0017226
"Test Analyzer","enable",0.4735528,1e-07
"Test Analyzer","disable",0.47609,1e-07
"Test Analyzer","enable",0.4762515,1e-07
"Test Analyzer","disable",0.4778831,1e-07
"Test Analyzer","enable",0.4780207,1e-07
"Test Analyzer","disable",0.4791144,1e-07
"Test Analyzer","error",0.4799221,0.0013695
"Test Analyzer","enable",0.4840385,1e-07
"Test Analyzer","disable",0.4872411,1e-07
"Test Analyzer","enable",0.4895785,1e-07
"Test Analyzer","disable",0.4925725,1e-07
"Test Analyzer","enable",0.4935618,1e-07
"Test Analyzer","disable",0.4954998,1e-07
"Test Analyzer","enable",0.4986849,1e-07
"Test Analyzer","disable",0.5012958,1e-07
"Test Analyzer","error",0.5033518,0.0029743
"Test Analyzer","error",0.5081218,0.0023133
"Test Analyzer","error",0.5115616,0.0028927
"Test Analyzer","error",0.5152823,0.0015143
"Test Analyzer","error",0.5180398,0.0020765
"Test Analyzer","enable",0.5204729,1e-07
"Test Analyzer","disable",0.5218609,1e-07
"Test Analyzer","error",0.5240761,0.0025188
"Test Analyzer","enable",0.5275452,1e-07
"Test Analyzer","disable",0.5306584,1e-07
"Test Analyzer","enable",0.5324516,1e-07
"Test Analyzer","disable",0.5343684,1e-07
"Test Analyzer","enable",0.5373899,1e-07
"Test Analyzer","disable",0.5381532,1e-07
"Test Analyzer","error",0.541113,0.0005491
"Test Analyzer","error",0.5436086,0.0005616
"Test Analyzer","enable",0.5465354,1e-07
"Test Analyzer","disable",0.5491841,1e-07
"Test Analyzer","error",0.5496302,0.0030094
"Test Analyzer","error",0.5556016,0.0026496
"Test Analyzer","enable",0.5604131,1e-07
"Test Analyzer","disable",0.5609649,1e-07
"Test Analyzer","error",0.5626186,0.0025418
"Test Analyzer","enable",0.5673824,1e-07
"Test Analyzer","disable",0.5698228,1e-07
"Test Analyzer","enable",0.5723826,1e-07
"Test Analyzer","disable",0.5741659,1e-07
"Test Analyzer","error",0.5756286,0.0005066
"Test Analyzer","enable",0.5766343,1e-07
"Test Analyzer","disable",0.5793963,1e-07
"Test Analyzer","enable",0.5809639,1e-07
"Test Analyzer","disable",0.5839817,1e-07
"Test Analyzer","enable",0.5867851,1e-07
"Test Analyzer","disable",0.5872683,1e-07
"Test Analyzer","error",0.5902322,0.0004737
"Test Analyzer","enable",0.5923148,1e-07
"Test Analyzer","disable",0.5949929,9.99999999e-08
"Test Analyzer","enable",0.5978661,1e-07
"Test Analyzer","disable",0.5984723,1e-07
"Test Analyzer","error",0.5995592,0.0008137
"Test Analyzer","enable",0.6020189,1e-07
"Test Analyzer","disable",0.6037881,9.99999999e-08
"Test Analyzer","enable",0.6064195,1e-07
"Test Analyzer","disable",0.6072929,1e-07
"Test Analyzer","enable",0.6101614,1e-07
"Test Analyzer","disable",0.6109581,1e-07
"Test Analyzer","enable",0.6127422,1e-07
"Test Analyzer","disable",0.6132336,1e-07
"Test Analyzer","enable",0.6143186,1e-07
"Test Analyzer","disable",0.6145682,9.99999999e-08
"Test Analyzer","error",0.6158458,0.0019585
"Test Analyzer","enable",0.6206036,1e-07
"Test Analyzer","disable",0.6234358,1e-07
"Test Analyzer","error",0.6248074,0.0003665
"Test Analyzer","enable",0.6274025,1e-07
"Test Analyzer","disable",0.6290106,1e-07
"Test Analyzer","error",0.6292052,0.0029351
"Test Analyzer","error",0.632805,0.0026644
"Test Analyzer","enable",0.6364951,1e-07
"Test Analyzer","disable",0.6381002,1e-07
"Test Analyzer","error",0.6397687,0.002363
"Test Analyzer","enable",0.6448446,1e-07
"Test Analyzer","disable",0.6451009,1e-07
"Test Analyzer","error",0.647874,0.0018528
"Test Analyzer","error",0.6511881,0.0028039
"Test Analyzer","error",0.654323,0.0028502
"Test Analyzer","error",0.6582772,9.43e-05
"Test Analyzer","enable",0.660114,1e-07
"Test Analyzer","disable",0.6610552,1e-07
"Test Analyzer","error",0.6628718,0.0009821
"Test Analyzer","enable",0.6646085,1e-07
"Test Analyzer","disable",0.6663117,1e-07
"Test Analyzer","error",0.6692732,0.0032455
"Test Analyzer","error",0.6735475,0.000181
"Test Analyzer","error",0.6737467,0.0015273
"Test Analyzer","enable",0.6764297,1e-07
"Test Analyzer","disable",0.6764652,1e-07
"Test Analyzer","error",0.6781929,0.0004085
"Test Analyzer","error",0.6812796,0.0012291
"Test Analyzer","enable",0.6855499,9.99999999e-08
"Test Analyzer","disable",0.6879526,9.99999999e-08
"Test Analyzer","enable",0.6902537,1e-07
"Test Analyzer","disable",0.6922876,1e-07
"Test Analyzer","error",0.6952677,0.0009135
"Test Analyzer","error",0.6987253,0.0008767
"Test Analyzer","enable",0.702319,9.99999999e-08
"Test Analyzer","disable",0.7026073,1e-07
"Test Analyzer","enable",0.7049317,9.99999999e-08
"Test Analyzer","disable",0.7060162,1e-07
"Test Analyzer","error",0.7069258,0.0005907
"Test Analyzer","error",0.7077562,0.0030063
"Test Analyzer","error",0.7132167,0.0012734
"Test Analyzer","error",0.7163418,0.0028696
"Test Analyzer","enable",0.7224369,1e-07
"Test Analyzer","disable",0.7237003,1e-07
"Test Analyzer","enable",0.7237919,1e-07
"Test Analyzer","disable",0.7242907,1e-07
"Test Analyzer","error",0.7266861,0.0031043
"Test Analyzer","enable",0.7328762,1e-07
"Test Analyzer","disable",0.7359593,1e-07
"Test Analyzer","enable",0.7367246,1e-07
"Test Analyzer","disable",0.7378859,1e-07
"Test Analyzer","enable",0.7405922,1e-07
"Test Analyzer","disable",0.7420333,9.99999999e-08
"Test Analyzer","enable",0.7444827,1e-07
"Test Analyzer","disable",0.7459504,9.99999999e-08
"Test Analyzer","enable",0.747411,1e-07
"Test Analyzer","disable",0.7500131,1e-07
"Test Analyzer","enable",0.7532016,1e-07
"Test Analyzer","disable",0.7555378,1e-07
"Test Analyzer","error",0.7557005,0.0011551
"Test Analyzer","error",0.7601055,0.0027823
"Test Analyzer","enable",0.7650618,9.99999999e-08
"Test Analyzer","disable",0.7663458,1e-07
"Test Analyzer","error",0.7668539,0.0004458
"Test Analyzer","enable",0.7679553,1e-07
"Test Analyzer","disable",0.7710454,1e-07
"Test Analyzer","error",0.7723715,0.0014795
"Test Analyzer","enable",0.7769682,1e-07
"Test Analyzer","disable",0.778036,1e-07
"Test Analyzer","error",0.7802911,0.002986
"Test Analyzer","enable",0.7838949,1e-07
"Test Analyzer","disable",0.7861345,1e-07
"Test Analyzer","enable",0.7867964,1e-07
"Test Analyzer","disable",0.7876162,1e-07
"Test Analyzer","error",0.7885531,0.000443
"Test Analyzer","enable",0.7912076,1e-07
"Test Analyzer","disable",0.7915185,1e-07
"Test Analyzer","enable",0.7936379,9.99999999e-08
"Test Analyzer","disable",0.7955892,1e-07
"Test Analyzer","error",0.7963383,0.0024971
"Test Analyzer","error",0.7990265,0.0013004
"Test Analyzer","enable",0.8014503,1e-07
"Test Analyzer","disable",0.8018304,1e-07
"Test Analyzer","enable",0.8048712,9.99999999e-08
"Test Analyzer","disable",0.8064914,1e-07
"Test Analyzer","enable",0.807229,1e-07
"Test Analyzer","disable",0.8103743,1e-07
"Test Analyzer","enable",0.8114759,1e-07
"Test Analyzer","disable",0.8121216,1e-07
"Test Analyzer","error",0.8129785,0.001108
"Test Analyzer","error",0.8141992,0.0021559
"Test Analyzer","error",0.8168687,0.002114
"Test Analyzer","error",0.8210625,8.46e-05
"Test Analyzer","enable",0.8238508,1e-07
"Test Analyzer","disable",0.8255137,1e-07
"Test Analyzer","enable",0.826898,1e-07
"Test Analyzer","disable",0.8273472,1e-07
"Test Analyzer","enable",0.8275425,1e-07
"Test Analyzer","disable",0.8282568,1e-07
"Test Analyzer","enable",0.8283576,1e-07
"Test Analyzer","disable",0.8284592,1e-07
"Test Analyzer","enable",0.8296536,1e-07
"Test Analyzer","disable",0.8302337,1e-07
"Test Analyzer","error",0.832297,0.0030046
"Test Analyzer","enable",0.836591,1e-07
"Test Analyzer","disable",0.8386786,1e-07
"Test Analyzer","error",0.8388629,0.0015497
"Test Analyzer","error",0.8419835,0.0011366
"Test Analyzer","enable",0.8433142,1e-07
"Test Analyzer","disable",0.8450478,9.99999999e-08
"Test Analyzer","enable",0.8476977,9.99999999e-08
"Test Analyzer","disable",0.8501734,1e-07
"Test Analyzer","enable",0.8530694,1e-07
"Test Analyzer","disable",0.855096,1e-07
"Test Analyzer","enable",0.8576624,1e-07
"Test Analyzer","disable",0.8588127,1e-07
"Test Analyzer","enable",0.860959,9.99999999e-08
"Test Analyzer","disable",0.8627771,1e-07
"Test Analyzer","error",0.8638141,0.0025113
"Test Analyzer","enable",0.8667467,1e-07
"Test Analyzer","disable",0.8688217,9.99999999e-08
"Test Analyzer","enable",0.8690494,1e-07
"Test Analyzer","disable",0.8721466,1e-07
"Test Analyzer","enable",0.8734547,1e-07
"Test Analyzer","disable",0.8752567,1e-07
"Test Analyzer","enable",0.8785227,1e-07
"Test Analyzer","disable",0.8816692,1e-07
"Test Analyzer","enable",0.8829781,1e-07
"Test Analyzer","disable",0.8844595,1e-07
"Test Analyzer","error",0.8847058,0.0005612
"Test Analyzer","error",0.8861039,0.0005314
"Test Analyzer","enable",0.8895586,1e-07
"Test Analyzer","disable",0.8925143,1e-07
"Test Analyzer","error",0.8956762,0.0023595
"Test Analyzer","enable",0.8982144,1e-07
"Test Analyzer","disable",0.9000159,1e-07
"Test Analyzer","enable",0.9008743,9.99999999e-08
"Test Analyzer","disable",0.9033013,1e-07
"Test Analyzer","error",0.9035413,0.0029766
"Test Analyzer","error",0.9069724,0.0022733
"Test Analyzer","enable",0.9111085,1e-07
"Test Analyzer","disable",0.9120006,1e-07
"Test Analyzer","enable",0.9126104,1e-07
"Test Analyzer","disable",0.9139493,1e-07
"Test Analyzer","error",0.914506,0.0009345
"Test Analyzer","enable",0.9162173,1e-07
"Test Analyzer","disable",0.9178484,1e-07
"Test Analyzer","enable",0.9182196,1e-07
"Test Analyzer","disable",0.9195617,9.99999999e-08
"Test Analyzer","enable",0.9214412,1e-07
"Test Analyzer","disable",0.9241357,9.99999999e-08
"Test Analyzer","enable",0.9242002,1e-07
"Test Analyzer","disable",0.926223,9.99999999e-08
"Test Analyzer","error",0.926269,0.0031991
"Test Analyzer","error",0.9310731,0.0018087
"Test Analyzer","enable",0.932919,9.99999999e-08
"Test Analyzer","disable",0.9338531,1e-07
"Test Analyzer","enable",0.9361671,1e-07
"Test Analyzer","disable",0.9375485,1e-07
"Test Analyzer","enable",0.9377124,1e-07
"Test Analyzer","disable",0.9382859,1e-07
"Test Analyzer","enable",0.9407556,9.99999999e-08
"Test Analyzer","disable",0.9414912,1e-07
"Test Analyzer","error",0.9420288,0.0017928
"Test Analyzer","enable",0.9457977,1e-07
"Test Analyzer","disable",0.9460545,9.99999999e-08
"Test Analyzer","enable",0.9479016,1e-07
"Test Analyzer","disable",0.9494008,1e-07
"Test Analyzer","error",0.9509474,0.0027766
"Test Analyzer","error",0.9554702,0.0028836
"Test Analyzer","error",0.9605969,0.0001478
"Test Analyzer","error",0.9637525,0.0011141
"Test Analyzer","enable",0.9669274,1e-07
"Test Analyzer","disable",0.9701308,1e-07
"Test Analyzer","error",0.9718725,0.0030875
"Test Analyzer","enable",0.9771175,1e-07
"Test Analyzer","disable",0.9783684,9.99999999e-08
"Test Analyzer","error",0.9787512,0.0012815
"Test Analyzer","enable",0.9817044,9.99999999e-08
"Test Analyzer","disable",0.9827694,1e-07
"Test Analyzer","enable",0.9848342,1e-07
"Test Analyzer","disable",0.9875121,1e-07
"Test Analyzer","error",0.9903909,0.0002037
"Test Analyzer","enable",0.9926058,1e-07
"Test Analyzer","disable",0.9937344,9.99999999e-08
"Test Analyzer","error",0.9959498,0.0020282
"Test Analyzer","enable",1.0012405,1e-07
"Test Analyzer","disable",1.0035312,9.99999999e-08
"Test Analyzer","enable",1.0060686,9.99999999e-08
"Test Analyzer","disable",1.0075706,1e-07
"Test Analyzer","enable",1.0107703,1e-07
"Test Analyzer","disable",1.011793,1e-07
"Test Analyzer","enable",1.0145291,9.99999999e-08
"Test Analyzer","disable",1.0174576,1e-07
"Test Analyzer","error",1.0196417,0.0003838
"Test Analyzer","error",1.0202751,0.0029013
"Test Analyzer","error",1.0252885,0.0030956
"Test Analyzer","error",1.0291872,0.0012518
"Test Analyzer","enable",1.0334695,1e-07
"Test Analyzer","disable",1.0350335,1e-07
"Test Analyzer","enable",1.0352199,1e-07
"Test Analyzer","disable",1.0352304,9.99999997e-08
"Test Analyzer","error",1.0363355,0.0022483
"Test Analyzer","enable",1.0391423,1e-07
"Test Analyzer","disable",1.0404278,1e-07
"Test Analyzer","enable",1.0425613,1e-07
"Test Analyzer","disable",1.0456032,1e-07
"Test Analyzer","enable",1.0473248,1e-07
"Test Analyzer","disable",1.0480269,1e-07
"Test Analyzer","error",1.0491366,0.0031499
"Test Analyzer","error",1.055155,0.0008044
"Test Analyzer","error",1.055997,7.11e-05
"Test Analyzer","enable",1.0585149,1e-07
"Test Analyzer","disable",1.0586956,1e-07
"Test Analyzer","enable",1.059787,1e-07
"Test Analyzer","disable",1.0604368,1e-07
"Test Analyzer","enable",1.0624583,1e-07
"Test Analyzer","disable",1.0652069,1e-07
"Test Analyzer","error",1.0680633,0.0018526
"Test Analyzer","enable",1.0712079,9.99999997e-08
"Test Analyzer","disable",1.0735187,1e-07
"Test Analyzer","error",1.0741924,0.0016379
"Test Analyzer","error",1.0766214,0.0008176
"Test Analyzer","error",1.0796553,0.0010115
"Test Analyzer","enable",1.0815991,1e-07
